time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-09T01:40:44.520Z,18.1765,-66.983,13.03,3.01,md,19,48,0.008164,0.2,pr,pr71428013,2023-10-09T03:49:29.817Z,"Puerto Rico",earthquake,0.36,0.5,0.0872329309924456,11,reviewed,pr,pr
2023-10-09T01:20:16.157Z,-10.3162,161.35,74.921,4.6,mb,59,100,1.634,0.54,us,us6000le4w,2023-10-09T01:38:39.040Z,"64 km WNW of Kirakira, Solomon Islands",earthquake,10.26,7.255,0.08,47,reviewed,us,us
2023-10-09T01:19:21.531Z,62.1685,-150.9325,14.1,2.5,ml,,,,0.71,ak,ak023cye9f4p,2023-10-09T01:21:14.130Z,"Central Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-10-09T00:39:20.630Z,-20.2402,-177.6251,499.749,4.6,mb,56,97,3.769,0.85,us,us6000le4q,2023-10-09T00:54:59.040Z,"262 km WNW of Houma, Tonga",earthquake,12.23,8.306,0.031,313,reviewed,us,us
2023-10-08T23:50:28.940Z,61.3482,-146.4028,14.8,2.7,ml,,,,0.63,ak,ak023cx409mu,2023-10-09T05:03:49.262Z,"24 km N of Valdez, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-10-08T23:35:05.063Z,8.8156,-77.1671,25.935,4.6,mb,45,96,0.791,0.65,us,us6000le4f,2023-10-08T23:49:07.040Z,"Panama-Colombia border region",earthquake,6.6,5.928,0.063,75,reviewed,us,us
2023-10-08T22:42:29.413Z,49.771,89.0078,10,4.4,mb,54,69,3.59,0.59,us,us6000le45,2023-10-08T23:02:49.040Z,"14 km WNW of Tashanta, Russia",earthquake,8.16,1.852,0.087,38,reviewed,us,us
2023-10-08T22:41:13.640Z,-22.9894,-66.3047,237.861,4.6,mb,33,96,1.728,0.87,us,us6000le44,2023-10-08T22:54:28.040Z,"68 km WNW of El Aguilar, Argentina",earthquake,9.65,9.841,0.117,22,reviewed,us,us
2023-10-08T22:02:53.353Z,52.699,-166.6638,6.634,3,ml,15,250,1.037,0.42,us,us6000le4k,2023-10-09T01:06:09.040Z,"131 km S of Unalaska, Alaska",earthquake,4.3,5.631,0.128,8,reviewed,us,us
2023-10-08T21:30:23.900Z,38.8271667,-122.804,1.75,3.87,mw,108,20,0.006058,0.06,nc,nc73947486,2023-10-09T16:22:04.208Z,"7 km NW of The Geysers, CA",earthquake,0.07,0.11,,3,reviewed,nc,nc
2023-10-08T21:21:42.192Z,29.7824,139.9375,10,4.9,mb,32,131,6.9,0.52,us,us6000le3x,2023-10-08T22:06:57.040Z,"Izu Islands, Japan region",earthquake,11.08,1.92,0.112,25,reviewed,us,us
2023-10-08T21:17:29.574Z,29.7869,140.026,10,5.4,mb,68,82,5.12,0.98,us,us6000le3k,2023-10-08T23:22:19.319Z,"Izu Islands, Japan region",earthquake,10.97,1.878,0.034,294,reviewed,us,us
2023-10-08T21:13:28.933Z,29.7887,140.0434,10,5.1,mb,63,63,6.101,0.67,us,us6000le3r,2023-10-08T21:54:26.040Z,"Izu Islands, Japan region",earthquake,11.14,1.837,0.044,168,reviewed,us,us
2023-10-08T21:05:33.644Z,29.758,140.0207,10,5.3,mb,80,82,5.146,0.81,us,us6000le2y,2023-10-08T21:19:58.040Z,"Izu Islands, Japan region",earthquake,10.78,1.865,0.058,101,reviewed,us,us
2023-10-08T21:00:41.697Z,29.8125,140.0184,10,5,mb,66,111,6.07,0.84,us,us6000le3e,2023-10-08T21:25:47.040Z,"Izu Islands, Japan region",earthquake,11.47,1.875,0.039,215,reviewed,us,us
2023-10-08T20:56:48.864Z,29.8231,139.8976,10,4.9,mb,35,135,5.054,1.1,us,us6000le3u,2023-10-08T22:20:59.040Z,"Izu Islands, Japan region",earthquake,11.82,1.919,0.096,34,reviewed,us,us
2023-10-08T20:34:32.842Z,29.7574,139.9976,10,4.8,mb,65,135,3.351,0.28,us,us6000le3i,2023-10-09T05:39:53.040Z,"Izu Islands, Japan region",earthquake,10.21,1.908,0.081,47,reviewed,us,us
2023-10-08T20:26:00.000Z,29.7,139.9,1,5,Ml,9,100.79999193600065,0,1.01,at,at00s288rc,2023-10-09T01:19:50.542Z,"Izu Islands, Japan region",earthquake,0,0,,6,reviewed,at,at
2023-10-08T20:25:23.195Z,29.7066,139.9015,10,4.9,mb,50,132,6.127,1.08,us,us6000le2t,2023-10-08T23:49:02.962Z,"Izu Islands, Japan region",earthquake,12.05,1.91,0.076,54,reviewed,us,us
2023-10-08T20:13:51.441Z,29.7787,140.0001,10,4.7,mb,74,122,3.33,0.72,us,us6000le2p,2023-10-09T05:04:42.040Z,"Izu Islands, Japan region",earthquake,10.58,1.893,0.07,62,reviewed,us,us
2023-10-08T19:50:24.070Z,-31.393,-68.9172,115.841,4.1,mb,23,76,0.251,0.77,us,us6000le2h,2023-10-08T21:10:37.040Z,"24 km NW of Villa Basilio Nievas, Argentina",earthquake,6.63,5.535,0.262,4,reviewed,us,us
2023-10-08T19:46:32.364Z,30.772,86.3616,10,4.4,mb,41,52,3.109,0.5,us,us6000le2i,2023-10-08T21:04:20.040Z,"194 km NE of Saga, China",earthquake,8.82,1.909,0.079,46,reviewed,us,us
2023-10-08T18:07:40.960Z,-3.1836,148.4004,10,5.9,mww,62,73,7.717,0.73,us,us6000le27,2023-10-09T08:20:58.253Z,"Bismarck Sea",earthquake,8.73,1.872,0.059,28,reviewed,us,us
